Tipo;Ap1;Ap2;Nombre;Loc;Calle;Reserva;"Reserva Original";"Centro origen";Cen.Pref;Cen.Alt1;Cen.Alt2;Cen.Alt3;Cen.Alt4;Cen.Alt5;Cen.Alt6;Baremo;Prioridad;Estado;"Centro definitivo";"Numero de sorteo asignado";Modificacion
ebo;pape14;sape14;nombre14;nodata;nodata;0;0;NOCENTRO;FIGUERUELAS;;;;;;;10;2;duplicada;nocentro;0;automatica
ebo;pape679;sape679;nombre679;nodata;nodata;0;0;NOCENTRO;FIGUERUELAS;;;;;;;196;1;irregular;nocentro;0;automatica
ebo;pape57;sape57;nombre57;nodata;nodata;0;0;NOCENTRO;FIGUERUELAS;;;;;;;185;1;duplicada;nocentro;0;automatica
ebo;pape954;sape954;nombre954;nodata;nodata;0;0;NOCENTRO;FIGUERUELAS;;;;;;;172;1;apta;nocentro;0;automatica
ebo;pape696;sape696;nombre696;nodata;nodata;0;0;NOCENTRO;FIGUERUELAS;;;;;;;141;1;irregular;nocentro;0;automatica
ebo;pape900;sape900;nombre900;nodata;nodata;0;0;NOCENTRO;"MARTINA BESCÓS";;;;;;;141;3;duplicada;nocentro;0;automatica
ebo;pape945;sape945;nombre945;nodata;nodata;0;0;NOCENTRO;"MARTINA BESCÓS";;;;;;;106;3;duplicada;nocentro;0;automatica
ebo;pape517;sape517;nombre517;nodata;nodata;0;0;NOCENTRO;"MARTINA BESCÓS";;;;;;;102;3;irregular;nocentro;0;automatica
ebo;pape471;sape471;nombre471;nodata;nodata;0;0;NOCENTRO;"MARTINA BESCÓS";;;;;;;94;3;duplicada;nocentro;0;automatica
ebo;pape636;sape636;nombre636;nodata;nodata;0;0;NOCENTRO;"MARTINA BESCÓS";;;;;;;73;3;duplicada;nocentro;0;automatica
ebo;pape90;sape90;nombre90;nodata;nodata;0;0;NOCENTRO;"MARTINA BESCÓS";;;;;;;66;3;duplicada;nocentro;0;automatica
ebo;pape699;sape699;nombre699;nodata;nodata;0;0;NOCENTRO;"MARTINA BESCÓS";;;;;;;50;3;duplicada;nocentro;0;automatica
ebo;pape65;sape65;nombre65;nodata;nodata;0;0;NOCENTRO;"MARTINA BESCÓS";;;;;;;36;3;duplicada;nocentro;0;automatica
ebo;pape873;sape873;nombre873;nodata;nodata;0;0;NOCENTRO;"MARTINA BESCÓS";;;;;;;26;3;duplicada;nocentro;0;automatica
ebo;pape97;sape97;nombre97;nodata;nodata;0;0;NOCENTRO;"MARTINA BESCÓS";;;;;;;19;3;duplicada;nocentro;0;automatica
ebo;pape595;sape595;nombre595;nodata;nodata;0;0;NOCENTRO;"MARTINA BESCÓS";;;;;;;102;2;duplicada;nocentro;0;automatica
ebo;pape520;sape520;nombre520;nodata;nodata;0;0;NOCENTRO;"MARTINA BESCÓS";;;;;;;175;1;irregular;nocentro;0;automatica
ebo;pape654;sape654;nombre654;nodata;nodata;0;0;NOCENTRO;"MARTINA BESCÓS";;;;;;;172;1;apta;nocentro;0;automatica
ebo;pape321;sape321;nombre321;nodata;nodata;0;0;NOCENTRO;"MARTINA BESCÓS";;;;;;;160;1;duplicada;nocentro;0;automatica
ebo;pape268;sape268;nombre268;nodata;nodata;0;0;NOCENTRO;"MARTINA BESCÓS";;;;;;;122;1;duplicada;nocentro;0;automatica
ebo;pape418;sape418;nombre418;nodata;nodata;0;0;NOCENTRO;"MARTINA BESCÓS";;;;;;;121;1;irregular;nocentro;0;automatica
ebo;pape891;sape891;nombre891;nodata;nodata;0;0;NOCENTRO;"SOLEDAD PUÉRTOLAS";;;;;;;145;3;irregular;nocentro;0;automatica
ebo;pape336;sape336;nombre336;nodata;nodata;0;0;NOCENTRO;"SOLEDAD PUÉRTOLAS";;;;;;;81;3;duplicada;nocentro;0;automatica
ebo;pape524;sape524;nombre524;nodata;nodata;0;0;NOCENTRO;"SOLEDAD PUÉRTOLAS";;;;;;;46;3;apta;nocentro;0;automatica
ebo;pape978;sape978;nombre978;nodata;nodata;0;0;NOCENTRO;"SOLEDAD PUÉRTOLAS";;;;;;;40;3;duplicada;nocentro;0;automatica
ebo;pape585;sape585;nombre585;nodata;nodata;0;0;NOCENTRO;"SOLEDAD PUÉRTOLAS";;;;;;;65;2;apta;nocentro;0;automatica
ebo;pape514;sape514;nombre514;nodata;nodata;0;0;NOCENTRO;"SOLEDAD PUÉRTOLAS";;;;;;;53;2;duplicada;nocentro;0;automatica
ebo;pape230;sape230;nombre230;nodata;nodata;0;0;NOCENTRO;"SOLEDAD PUÉRTOLAS";;;;;;;19;2;duplicada;nocentro;0;automatica
ebo;pape533;sape533;nombre533;nodata;nodata;0;0;NOCENTRO;"SOLEDAD PUÉRTOLAS";;;;;;;4;2;duplicada;nocentro;0;automatica
ebo;pape779;sape779;nombre779;nodata;nodata;0;0;NOCENTRO;"SOLEDAD PUÉRTOLAS";;;;;;;182;1;duplicada;nocentro;0;automatica
ebo;pape455;sape455;nombre455;nodata;nodata;0;0;NOCENTRO;"SOLEDAD PUÉRTOLAS";;;;;;;156;1;duplicada;nocentro;0;automatica
ebo;pape763;sape763;nombre763;nodata;nodata;0;0;NOCENTRO;"SOLEDAD PUÉRTOLAS";;;;;;;148;1;duplicada;nocentro;0;automatica
ebo;pape459;sape459;nombre459;nodata;nodata;0;0;NOCENTRO;"SOLEDAD PUÉRTOLAS";;;;;;;146;1;duplicada;nocentro;0;automatica
ebo;pape101;sape101;nombre101;nodata;nodata;0;0;NOCENTRO;"SOLEDAD PUÉRTOLAS";;;;;;;92;1;apta;nocentro;0;automatica
ebo;pape758;sape758;nombre758;nodata;nodata;0;0;NOCENTRO;"SOLEDAD PUÉRTOLAS";;;;;;;85;1;duplicada;nocentro;0;automatica
ebo;pape387;sape387;nombre387;nodata;nodata;0;0;NOCENTRO;"SOLEDAD PUÉRTOLAS";;;;;;;13;1;apta;nocentro;0;automatica
ebo;pape890;sape890;nombre890;nodata;nodata;0;0;NOCENTRO;"SOLEDAD PUÉRTOLAS";;;;;;;9;1;irregular;nocentro;0;automatica
ebo;pape987;sape987;nombre987;nodata;nodata;0;0;NOCENTRO;"SOLEDAD PUÉRTOLAS";;;;;;;8;1;irregular;nocentro;0;automatica
ebo;pape672;sape672;nombre672;nodata;nodata;0;0;NOCENTRO;"PARQUE VENECIA";;;;;;;170;3;apta;nocentro;0;automatica
ebo;pape80;sape80;nombre80;nodata;nodata;0;0;NOCENTRO;"PARQUE VENECIA";;;;;;;122;3;apta;nocentro;0;automatica
ebo;pape819;sape819;nombre819;nodata;nodata;0;0;NOCENTRO;"PARQUE VENECIA";;;;;;;96;3;irregular;nocentro;0;automatica
ebo;pape202;sape202;nombre202;nodata;nodata;0;0;NOCENTRO;"PARQUE VENECIA";;;;;;;92;3;apta;nocentro;0;automatica
ebo;pape500;sape500;nombre500;nodata;nodata;0;0;NOCENTRO;"PARQUE VENECIA";;;;;;;54;3;apta;nocentro;0;automatica
ebo;pape648;sape648;nombre648;nodata;nodata;0;0;NOCENTRO;"PARQUE VENECIA";;;;;;;37;2;apta;nocentro;0;automatica
ebo;pape534;sape534;nombre534;nodata;nodata;0;0;NOCENTRO;"PARQUE VENECIA";;;;;;;199;1;irregular;nocentro;0;automatica
ebo;pape709;sape709;nombre709;nodata;nodata;0;0;NOCENTRO;"PARQUE VENECIA";;;;;;;143;1;irregular;nocentro;0;automatica
ebo;pape183;sape183;nombre183;nodata;nodata;0;0;NOCENTRO;"PARQUE VENECIA";;;;;;;117;1;duplicada;nocentro;0;automatica
ebo;pape609;sape609;nombre609;nodata;nodata;0;0;NOCENTRO;"PARQUE VENECIA";;;;;;;68;1;apta;nocentro;0;automatica
ebo;pape362;sape362;nombre362;nodata;nodata;0;0;NOCENTRO;"PARQUE VENECIA";;;;;;;48;1;duplicada;nocentro;0;automatica
ebo;pape435;sape435;nombre435;nodata;nodata;0;0;NOCENTRO;"PARQUE VENECIA";;;;;;;47;1;irregular;nocentro;0;automatica
ebo;pape480;sape480;nombre480;nodata;nodata;0;0;NOCENTRO;"PARQUE VENECIA";;;;;;;43;1;apta;nocentro;0;automatica
ebo;pape346;sape346;nombre346;nodata;nodata;0;0;NOCENTRO;"PARQUE VENECIA";;;;;;;31;1;apta;nocentro;0;automatica
ebo;pape702;sape702;nombre702;nodata;nodata;0;0;NOCENTRO;"VALDESPARTERA III";;;;;;;148;3;duplicada;nocentro;0;automatica
ebo;pape830;sape830;nombre830;nodata;nodata;0;0;NOCENTRO;"VALDESPARTERA III";;;;;;;79;3;duplicada;nocentro;0;automatica
ebo;pape513;sape513;nombre513;nodata;nodata;0;0;NOCENTRO;"VALDESPARTERA III";;;;;;;20;3;irregular;nocentro;0;automatica
ebo;pape378;sape378;nombre378;nodata;nodata;0;0;NOCENTRO;"VALDESPARTERA III";;;;;;;148;2;apta;nocentro;0;automatica
ebo;pape262;sape262;nombre262;nodata;nodata;0;0;NOCENTRO;"VALDESPARTERA III";;;;;;;125;2;irregular;nocentro;0;automatica
ebo;pape827;sape827;nombre827;nodata;nodata;0;0;NOCENTRO;"VALDESPARTERA III";;;;;;;109;2;apta;nocentro;0;automatica
ebo;pape853;sape853;nombre853;nodata;nodata;0;0;NOCENTRO;"VALDESPARTERA III";;;;;;;106;2;apta;nocentro;0;automatica
ebo;pape882;sape882;nombre882;nodata;nodata;0;0;NOCENTRO;"VALDESPARTERA III";;;;;;;105;2;duplicada;nocentro;0;automatica
ebo;pape977;sape977;nombre977;nodata;nodata;0;0;NOCENTRO;"VALDESPARTERA III";;;;;;;100;2;apta;nocentro;0;automatica
ebo;pape540;sape540;nombre540;nodata;nodata;0;0;NOCENTRO;"VALDESPARTERA III";;;;;;;61;2;irregular;nocentro;0;automatica
ebo;pape409;sape409;nombre409;nodata;nodata;0;0;NOCENTRO;"VALDESPARTERA III";;;;;;;24;2;apta;nocentro;0;automatica
ebo;pape792;sape792;nombre792;nodata;nodata;0;0;NOCENTRO;"VALDESPARTERA III";;;;;;;15;2;duplicada;nocentro;0;automatica
ebo;pape689;sape689;nombre689;nodata;nodata;0;0;NOCENTRO;"VALDESPARTERA III";;;;;;;185;1;apta;nocentro;0;automatica
ebo;pape497;sape497;nombre497;nodata;nodata;0;0;NOCENTRO;"VALDESPARTERA III";;;;;;;184;1;apta;nocentro;0;automatica
ebo;pape961;sape961;nombre961;nodata;nodata;0;0;NOCENTRO;"VALDESPARTERA III";;;;;;;94;1;duplicada;nocentro;0;automatica
ebo;pape361;sape361;nombre361;nodata;nodata;0;0;NOCENTRO;"VALDESPARTERA III";;;;;;;3;1;duplicada;nocentro;0;automatica
ebo;pape172;sape172;nombre172;nodata;nodata;0;0;NOCENTRO;ARCOSUR;;;;;;;135;3;irregular;nocentro;0;automatica
ebo;pape747;sape747;nombre747;nodata;nodata;0;0;NOCENTRO;ARCOSUR;;;;;;;122;3;duplicada;nocentro;0;automatica
ebo;pape653;sape653;nombre653;nodata;nodata;0;0;NOCENTRO;ARCOSUR;;;;;;;111;3;apta;nocentro;0;automatica
ebo;pape26;sape26;nombre26;nodata;nodata;0;0;NOCENTRO;ARCOSUR;;;;;;;182;2;duplicada;nocentro;0;automatica
ebo;pape313;sape313;nombre313;nodata;nodata;0;0;NOCENTRO;ARCOSUR;;;;;;;112;2;duplicada;nocentro;0;automatica
ebo;pape799;sape799;nombre799;nodata;nodata;0;0;NOCENTRO;ARCOSUR;;;;;;;111;2;apta;nocentro;0;automatica
ebo;pape367;sape367;nombre367;nodata;nodata;0;0;NOCENTRO;ARCOSUR;;;;;;;86;2;apta;nocentro;0;automatica
ebo;pape316;sape316;nombre316;nodata;nodata;0;0;NOCENTRO;ARCOSUR;;;;;;;84;2;apta;nocentro;0;automatica
ebo;pape651;sape651;nombre651;nodata;nodata;0;0;NOCENTRO;ARCOSUR;;;;;;;66;2;duplicada;nocentro;0;automatica
ebo;pape296;sape296;nombre296;nodata;nodata;0;0;NOCENTRO;ARCOSUR;;;;;;;13;2;irregular;nocentro;0;automatica
ebo;pape875;sape875;nombre875;nodata;nodata;0;0;NOCENTRO;ARCOSUR;;;;;;;178;1;duplicada;nocentro;0;automatica
ebo;pape678;sape678;nombre678;nodata;nodata;0;0;NOCENTRO;ARCOSUR;;;;;;;92;1;irregular;nocentro;0;automatica
ebo;pape239;sape239;nombre239;nodata;nodata;0;0;NOCENTRO;ARCOSUR;;;;;;;90;1;duplicada;nocentro;0;automatica
ebo;pape347;sape347;nombre347;nodata;nodata;0;0;NOCENTRO;ARCOSUR;;;;;;;39;1;apta;nocentro;0;automatica
ebo;pape474;sape474;nombre474;nodata;nodata;0;0;NOCENTRO;"EL PICARRAL";;;;;;;145;3;apta;nocentro;0;automatica
ebo;pape82;sape82;nombre82;nodata;nodata;0;0;NOCENTRO;"EL PICARRAL";;;;;;;116;3;irregular;nocentro;0;automatica
ebo;pape604;sape604;nombre604;nodata;nodata;0;0;NOCENTRO;"EL PICARRAL";;;;;;;193;2;duplicada;nocentro;0;automatica
ebo;pape184;sape184;nombre184;nodata;nodata;0;0;NOCENTRO;"EL PICARRAL";;;;;;;184;2;irregular;nocentro;0;automatica
ebo;pape553;sape553;nombre553;nodata;nodata;0;0;NOCENTRO;"EL PICARRAL";;;;;;;173;2;apta;nocentro;0;automatica
ebo;pape981;sape981;nombre981;nodata;nodata;0;0;NOCENTRO;"EL PICARRAL";;;;;;;129;2;irregular;nocentro;0;automatica
ebo;pape199;sape199;nombre199;nodata;nodata;0;0;NOCENTRO;"EL PICARRAL";;;;;;;117;2;duplicada;nocentro;0;automatica
ebo;pape821;sape821;nombre821;nodata;nodata;0;0;NOCENTRO;"EL PICARRAL";;;;;;;21;2;duplicada;nocentro;0;automatica
ebo;pape252;sape252;nombre252;nodata;nodata;0;0;NOCENTRO;"EL PICARRAL";;;;;;;171;1;irregular;nocentro;0;automatica
ebo;pape193;sape193;nombre193;nodata;nodata;0;0;NOCENTRO;"EL PICARRAL";;;;;;;160;1;irregular;nocentro;0;automatica
ebo;pape860;sape860;nombre860;nodata;nodata;0;0;NOCENTRO;"EL PICARRAL";;;;;;;138;1;duplicada;nocentro;0;automatica
ebo;pape864;sape864;nombre864;nodata;nodata;0;0;NOCENTRO;"EL PICARRAL";;;;;;;133;1;apta;nocentro;0;automatica
ebo;pape2;sape2;nombre2;nodata;nodata;0;0;NOCENTRO;"EL PICARRAL";;;;;;;107;1;apta;nocentro;0;automatica
ebo;pape630;sape630;nombre630;nodata;nodata;0;0;NOCENTRO;"EL PICARRAL";;;;;;;94;1;apta;nocentro;0;automatica
ebo;pape925;sape925;nombre925;nodata;nodata;0;0;NOCENTRO;"EL PICARRAL";;;;;;;59;1;apta;nocentro;0;automatica
ebo;pape238;sape238;nombre238;nodata;nodata;0;0;NOCENTRO;"EL PICARRAL";;;;;;;38;1;irregular;nocentro;0;automatica
ebo;pape204;sape204;nombre204;nodata;nodata;0;0;NOCENTRO;"EL PICARRAL";;;;;;;26;1;irregular;nocentro;0;automatica
ebo;pape189;sape189;nombre189;nodata;nodata;0;0;NOCENTRO;"EL PICARRAL";;;;;;;4;1;duplicada;nocentro;0;automatica
ebo;pape501;sape501;nombre501;nodata;nodata;0;0;NOCENTRO;SEGEDA;;;;;;;3;3;duplicada;nocentro;0;automatica
ebo;pape212;sape212;nombre212;nodata;nodata;0;0;NOCENTRO;SEGEDA;ALBORADA;"MARÍA SORIANO";;;;;6;2;apta;nocentro;0;automatica
ebo;pape382;sape382;nombre382;nodata;nodata;0;0;NOCENTRO;SEGEDA;"JEAN PIAGET";"ANGEL RIVIÈRE";;;;;6;2;apta;nocentro;0;automatica
ebo;pape857;sape857;nombre857;nodata;nodata;0;0;NOCENTRO;SEGEDA;"ATADES, CENTRO DE EDUCACIÓN ESPECIAL SAN MARTÍN DE PORRES";ALBORADA;"RINCÓN DE GOYA";;;;6;2;apta;nocentro;0;automatica
ebo;pape680;sape680;nombre680;nodata;nodata;0;0;NOCENTRO;SEGEDA;;;;;;;114;1;apta;nocentro;0;automatica
ebo;pape771;sape771;nombre771;nodata;nodata;1;1;ALBORADA;SEGEDA;CEDES;ALBORADA;;;;;83;1;irregular;nocentro;0;automatica
ebo;pape801;sape801;nombre801;nodata;nodata;1;1;"RINCÓN DE GOYA";SEGEDA;"ATADES, CENTRO DE EDUCACIÓN ESPECIAL SAN MARTÍN DE PORRES";"SAN BRAULIO";;;;;6;1;apta;nocentro;0;automatica
ebo;ap510;ap510;n510;Zaragoza;goya;0;0;VERO-ALCANADRE;SEGEDA;"ATADES, CENTRO DE EDUCACIÓN ESPECIAL SAN MARTÍN DE PORRES";;;;;;6;1;apta;nocentro;0;automatica
ebo;pape664;sape664;nombre664;nodata;nodata;1;1;"RINCÓN DE GOYA";SEGEDA;;;;;;;6;1;apta;nocentro;0;automatica
ebo;pape266;sape266;nombre266;nodata;nodata;0;0;"RECTOR MAMÉS ESPERABÉ";SEGEDA;ALBORADA;CEDES;;;;;6;1;apta;nocentro;0;automatica
ebo;pape153;sape153;nombre153;nodata;nodata;1;1;"JEAN PIAGET";SEGEDA;"RECTOR MAMÉS ESPERABÉ";"ANGEL RIVIÈRE";"MARÍA SORIANO";;;;6;1;apta;nocentro;0;automatica
ebo;ap5100;ap5100;n5100;Zaragoza;goya;0;0;VERO-ALCANADRE;SEGEDA;"ATADES, CENTRO DE EDUCACIÓN ESPECIAL SAN MARTÍN DE PORRES";;;;;;6;1;apta;nocentro;0;automatica
ebo;pape144;sape144;nombre144;nodata;nodata;1;1;"RINCÓN DE GOYA";SEGEDA;"RINCÓN DE GOYA";CEDES;;;;;6;1;apta;nocentro;0;automatica
tva;pape530;sape530;nombre530;nodata;nodata;1;1;"JEAN PIAGET";SEGEDA;"ANGEL RIVIÈRE";"MARÍA SORIANO";"LA PURÍSIMA PARA NIÑOS SORDOS";;;;6;1;apta;nocentro;0;automatica
ebo;pape108;sape108;nombre108;nodata;nodata;0;0;NOCENTRO;"INTERNACIONAL ÁNFORA";;;;;;;149;3;apta;nocentro;0;automatica
ebo;pape782;sape782;nombre782;nodata;nodata;0;0;NOCENTRO;"INTERNACIONAL ÁNFORA";;;;;;;109;3;irregular;nocentro;0;automatica
ebo;pape663;sape663;nombre663;nodata;nodata;0;0;NOCENTRO;"INTERNACIONAL ÁNFORA";;;;;;;101;3;duplicada;nocentro;0;automatica
ebo;pape735;sape735;nombre735;nodata;nodata;0;0;NOCENTRO;"INTERNACIONAL ÁNFORA";;;;;;;157;2;duplicada;nocentro;0;automatica
ebo;pape892;sape892;nombre892;nodata;nodata;0;0;NOCENTRO;"INTERNACIONAL ÁNFORA";;;;;;;62;2;duplicada;nocentro;0;automatica
ebo;pape122;sape122;nombre122;nodata;nodata;0;0;NOCENTRO;"INTERNACIONAL ÁNFORA";;;;;;;30;2;duplicada;nocentro;0;automatica
ebo;pape478;sape478;nombre478;nodata;nodata;0;0;NOCENTRO;"INTERNACIONAL ÁNFORA";;;;;;;15;2;duplicada;nocentro;0;automatica
ebo;pape433;sape433;nombre433;nodata;nodata;0;0;NOCENTRO;"INTERNACIONAL ÁNFORA";;;;;;;1;2;apta;nocentro;0;automatica
ebo;pape843;sape843;nombre843;nodata;nodata;0;0;NOCENTRO;"INTERNACIONAL ÁNFORA";;;;;;;165;1;duplicada;nocentro;0;automatica
ebo;pape804;sape804;nombre804;nodata;nodata;0;0;NOCENTRO;"INTERNACIONAL ÁNFORA";;;;;;;151;1;apta;nocentro;0;automatica
ebo;pape739;sape739;nombre739;nodata;nodata;0;0;NOCENTRO;"INTERNACIONAL ÁNFORA";;;;;;;137;1;apta;nocentro;0;automatica
ebo;pape568;sape568;nombre568;nodata;nodata;0;0;NOCENTRO;"INTERNACIONAL ÁNFORA";;;;;;;114;1;duplicada;nocentro;0;automatica
ebo;pape531;sape531;nombre531;nodata;nodata;0;0;NOCENTRO;"INTERNACIONAL ÁNFORA";;;;;;;95;1;apta;nocentro;0;automatica
ebo;pape535;sape535;nombre535;nodata;nodata;0;0;NOCENTRO;"INTERNACIONAL ÁNFORA";;;;;;;51;1;apta;nocentro;0;automatica
ebo;pape484;sape484;nombre484;nodata;nodata;0;0;NOCENTRO;"INTERNACIONAL ÁNFORA";;;;;;;26;1;apta;nocentro;0;automatica
ebo;pape340;sape340;nombre340;nodata;nodata;0;0;NOCENTRO;"DE LA MUELA";;;;;;;199;3;irregular;nocentro;0;automatica
ebo;pape903;sape903;nombre903;nodata;nodata;0;0;NOCENTRO;"DE LA MUELA";;;;;;;103;3;apta;nocentro;0;automatica
ebo;pape472;sape472;nombre472;nodata;nodata;0;0;NOCENTRO;"DE LA MUELA";;;;;;;101;3;duplicada;nocentro;0;automatica
ebo;pape544;sape544;nombre544;nodata;nodata;0;0;NOCENTRO;"DE LA MUELA";;;;;;;95;3;irregular;nocentro;0;automatica
ebo;pape343;sape343;nombre343;nodata;nodata;0;0;NOCENTRO;"DE LA MUELA";;;;;;;48;3;duplicada;nocentro;0;automatica
ebo;pape768;sape768;nombre768;nodata;nodata;0;0;NOCENTRO;"DE LA MUELA";;;;;;;174;2;apta;nocentro;0;automatica
ebo;pape717;sape717;nombre717;nodata;nodata;0;0;NOCENTRO;"DE LA MUELA";;;;;;;135;2;duplicada;nocentro;0;automatica
ebo;pape995;sape995;nombre995;nodata;nodata;0;0;NOCENTRO;"DE LA MUELA";;;;;;;114;2;apta;nocentro;0;automatica
ebo;pape161;sape161;nombre161;nodata;nodata;0;0;NOCENTRO;"DE LA MUELA";;;;;;;84;2;irregular;nocentro;0;automatica
ebo;pape211;sape211;nombre211;nodata;nodata;0;0;NOCENTRO;"DE LA MUELA";;;;;;;38;2;irregular;nocentro;0;automatica
ebo;pape598;sape598;nombre598;nodata;nodata;0;0;NOCENTRO;"DE LA MUELA";;;;;;;4;2;irregular;nocentro;0;automatica
ebo;pape291;sape291;nombre291;nodata;nodata;0;0;NOCENTRO;"DE LA MUELA";;;;;;;1;2;duplicada;nocentro;0;automatica
ebo;pape457;sape457;nombre457;nodata;nodata;0;0;NOCENTRO;"DE LA MUELA";;;;;;;161;1;apta;nocentro;0;automatica
ebo;pape953;sape953;nombre953;nodata;nodata;0;0;NOCENTRO;"DE LA MUELA";;;;;;;118;1;irregular;nocentro;0;automatica
ebo;pape618;sape618;nombre618;nodata;nodata;0;0;NOCENTRO;"DE LA MUELA";;;;;;;112;1;irregular;nocentro;0;automatica
ebo;pape698;sape698;nombre698;nodata;nodata;0;0;NOCENTRO;"DE LA MUELA";;;;;;;97;1;irregular;nocentro;0;automatica
ebo;pape905;sape905;nombre905;nodata;nodata;0;0;NOCENTRO;"DE LA MUELA";;;;;;;53;1;apta;nocentro;0;automatica
ebo;pape245;sape245;nombre245;nodata;nodata;0;0;NOCENTRO;"DE LA MUELA";;;;;;;37;1;irregular;nocentro;0;automatica
ebo;pape564;sape564;nombre564;nodata;nodata;0;0;NOCENTRO;"DE LA MUELA";;;;;;;21;1;apta;nocentro;0;automatica
ebo;pape39;sape39;nombre39;nodata;nodata;0;0;NOCENTRO;"DE LA MUELA";;;;;;;8;1;duplicada;nocentro;0;automatica
ebo;pape368;sape368;nombre368;nodata;nodata;0;0;NOCENTRO;"FLORIÁN REY";;;;;;;193;3;duplicada;nocentro;0;automatica
ebo;pape881;sape881;nombre881;nodata;nodata;0;0;NOCENTRO;"FLORIÁN REY";;;;;;;78;3;irregular;nocentro;0;automatica
ebo;pape147;sape147;nombre147;nodata;nodata;0;0;NOCENTRO;"FLORIÁN REY";;;;;;;66;3;apta;nocentro;0;automatica
